Restraunt,Location,Address,Website
Banh Mi & Roll,HILLSBORO VILLAGE,"1808 20th Ave S #101, Nashville, TN 37212",https://banhmiandrollplus.com/
Barista Parlor,HILLSBORO VILLAGE,"1817 21st Ave S, Nashville, TN 3721
",https://baristaparlor.com/
Biscuit Love,HILLSBORO VILLAGE,"2001 Belcourt Ave, Nashville, TN 37212",https://www.biscuitlove.com/
Central BBQ,HILLSBORO VILLAGE,"1601 21st Ave S, Nashville, TN 37232",https://eatcbq.com/
Grain & Berry,HILLSBORO VILLAGE,"1806 20th Ave S, Nashville, TN 37212",https://grainandberry.com/
The Grilled Cheeserie,HILLSBORO VILLAGE,"2003 Belcourt Ave, Nashville, TN 37212",https://grilledcheeserie.com/
Hopdoddy Burger Bar,HILLSBORO VILLAGE,"1805 21st Ave S, Nashville, TN 37212",https://www.hopdoddy.com/
Jeni’s Splendid Ice Creams,HILLSBORO VILLAGE,"1819 21st Ave S, Nashville, TN 37212",https://jenis.com/
Meet Noodles,HILLSBORO VILLAGE,"2121 Belcourt Ave, Nashville, TN 37212",https://www.meetnoodlestn.com/
Sushi 88,HILLSBORO VILLAGE,"2119 Belcourt Ave. Nashville, TN 37212",https://www.order.store/store/sushi-&-pho-88/jBVWb_f9QJmvK8bpYz0LSg
Taco Mama,HILLSBORO VILLAGE,"1612 21st Ave S, Nashville, TN 37212",https://tacomamaonline.com/
The Urban Juicer,HILLSBORO VILLAGE,"1622 21st Ave S, Nashville, TN 37212",https://theurbanjuicer.com/
Ben & Jerry’s,MIDTOWN,"416-A 21st Ave S, Nashville, TN 37203",https://www.benjerry.com/flavors?utm_medium=paidsearch&utm_source=google&utm_campaign=BJ_Core&utm_term=ben%20and%20jerrys&utm_content=serp&utm_topic=flavors&utm_objective=discover&utm_root=o&gad_source=1&gclid=Cj0KCQjw0ruyBhDuARIsANSZ3wpQbKB9yMAQF8R2Qvxj5w7sc4tapxtmjXsTPyigslO1KjmcA3WOJpQaApL2EALw_wcB
Chuy’s Tex Mex,MIDTOWN,"1901 Broadway, Nashville, TN 37203",https://www.chuys.com/
Donatos Pizza,MIDTOWN,"1915 Broadway, Nashville, TN 37203",https://www.donatos.com/
Helen’s Hot Chicken,MIDTOWN,"2010 Scarritt Pl, Nashville, TN 37203",https://www.helenshotchicken.com/
Two Boots Pizza,MIDTOWN,"1925 Broadway, Nashville, TN 37203",https://www.twoboots.com/nashville
The Poki,MIDTOWN,"2057 Scarritt Pl, Nashville, TN 37203",https://thepoki.com/brentwood-the-poki-locations
Sarabha’s Creamery,MIDTOWN,"400 21st Ave S #201, Nashville, TN 37203",https://sarabhascreamery.com/
The Slider House,MIDTOWN,"1907 Division St, Nashville, TN 37203",https://sliderhousensh.com/
Urban Cookhouse,MIDTOWN,"1907 Broadway, Nashville, TN 37203",https://www.urbancookhouse.com/location/
8th and Roast,MIDTOWN,"2108 8th Ave S, Nashville, TN 37204",https://www.8thandroast.com/
Bombay Palace,WEST END AVENUE,"2912 West End Ave, Nashville, TN 37203",https://bobmaypalacenashville.com/
Chili’s,WEST END AVENUE,"2322 West End Ave, Nashville, TN 37203",https://www.chilis.com/locations/us/tennessee/nashville/vanderbilt
Crab Fever,WEST END AVENUE,"1907 West End Ave, Nashville, TN 37203",https://www.crabfever.com/crab-fever-nashville
Hyderabad House,WEST END AVENUE,"106 29th Ave N, Nashville, TN 37203",https://hyderabadhousenashville.com/
Wendy’s,WEST END AVENUE,"2603 West End Ave, Nashville, TN 37203",https://locations.wendys.com/united-states/tn/nashville/2603-west-end-ave
Inchin’s Bamboo Garden,WEST END AVENUE,"1800 West End Ave, Nashville, TN 37203",https://bamboo-gardens.com/nashville-tn/
Papa John’s Pizza,WEST END AVENUE,"2316 West End Ave, Nashville, TN 37203",https://locations.papajohns.com/united-states/tn/37203/nashville/2316-west-end-avenue
Sitar,WEST END AVENUE,"116 21st Ave N, Nashville, TN 37203",https://sitarnashville.com/
Sun & Fork,WEST END AVENUE," 2507 West End Ave, Nashville, TN 37203",https://sunandfork.com/
Yaki House,ELLISTON PLACE,"2422 Elliston Pl, Nashville, TN 37203",https://www.yakihousenashville.com/en/
Elliston Place Soda Shop,ELLISTON PLACE,"2105 Elliston Pl, Nashville, TN 37203",https://www.ellistonplacesodashop.com/
Frutta Bowls,ELLISTON PLACE,"2424 Elliston Pl, Nashville, TN 37203",https://restaurants.fruttabowls.com/tn/nashville/2424-elliston-place/
I Love Sushi,ELLISTON PLACE,"2300 Elliston Pl, Nashville, TN 37203",https://ilovesushinashville.com/
Roma Pizza & Pasta,ELLISTON PLACE,"2418 Elliston Pl, Nashville, TN 37203",https://www.romapizzapastaellistonpl.com/
Jet’s Pizza,ELLISTON PLACE,"214 25th Ave N, Nashville, TN 37203",https://www.jetspizza.com/stores/tennessee/nashville/214-25th-ave-n/
Michaelangelo’s Pizza,ELLISTON PLACE,"205 22nd Ave N, Nashville, TN 37203",https://www.michaelangelosmenu.com/
Oscar’s Taco Shop,ELLISTON PLACE," 2323 Elliston Pl, Nashville, TN 37203",https://oscarstacoshop.com/locations/vandy-2323-elliston-plave-nashville-tn/
Poke Bros.,ELLISTON PLACE,"2414 Elliston Pl, Nashville, TN 37203",https://eatpokebros.com/location/nashville/
Satay Thai Grill,ELLISTON PLACE,"2412 Elliston Pl, Nashville, TN 37203",https://www.thaisataynashville.com/
Sweet Dots Bubble Tea,ELLISTON PLACE," 2217 Elliston Pl, Nashville, TN 37203",https://www.sweetdots.com/
Holy Smokes,ON-CAMPUS,"300 24th Ave S, Nashville, TN 37212",https://holysmokeskosher.org/
Red Bicycle,ON-CAMPUS,"1210 21st Ave S, Nashville, TN 37203",https://redbicyclecoffee.com/
Woodlands,KOSHER/OUT OF CAMPUS RADIUS,"3415 West End Ave. Nashville, TN 37203",https://woodlandstennessee.com/
